player_id,player_name,player_market_value,player_kit_number,player_position,player_nationality,player_nat_flag_pic,player_portrait_pic,player_birth_date,team_id,league_id
0,Djordje Petrovic,28000000.0,1.0,Goalkeeper,Serbia,https://tmssl.akamaized.net//images/flagge/verysmall/215.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/465555-1775574265.jpg?lm=1,1999-10-08,0,0
1,Christos Mandas,10000000.0,29.0,Goalkeeper,Greece,https://tmssl.akamaized.net//images/flagge/verysmall/56.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/481675-1724268727.jpg?lm=1,2001-09-17,0,0
2,Fraser Forster,600000.0,17.0,Goalkeeper,England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/52570-1676412801.jpg?lm=1,1988-03-17,0,0
3,Bafodé Diakité,30000000.0,18.0,Centre-Back,France,https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/463605-1666691072.jpg?lm=1,2001-01-06,0,0
4,Marcos Senesi,22000000.0,5.0,Centre-Back,Argentina,https://tmssl.akamaized.net//images/flagge/verysmall/9.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/469781-1738824319.jpg?lm=1,1997-05-10,0,0
5,Veljko Milosavljevic,20000000.0,44.0,Centre-Back,Serbia,https://tmssl.akamaized.net//images/flagge/verysmall/215.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/989112-1756755375.jpg?lm=1,2007-06-28,0,0
6,James Hill,15000000.0,23.0,Centre-Back,England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/611793-1774469525.jpg?lm=1,2002-01-10,0,0
7,Matai Akinmboni,1000000.0,45.0,Centre-Back,United States,https://tmssl.akamaized.net//images/flagge/verysmall/184.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/994604-1709490110.jpg?lm=1,2006-10-17,0,0
8,Adrien Truffert,25000000.0,3.0,Left-Back,France,https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/654539-1754901329.jpg?lm=1,2001-11-20,0,0
9,Julio Soler,8000000.0,6.0,Left-Back,Argentina,https://tmssl.akamaized.net//images/flagge/verysmall/9.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/1009658-1721934099.png?lm=1,2005-02-16,0,0
10,Álex Jiménez,22000000.0,20.0,Right-Back,Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/741257-1751532035.jpg?lm=1,2005-05-08,0,0
11,Adam Smith,500000.0,15.0,Right-Back,England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/61841-1737920848.jpg?lm=1,1991-04-29,0,0
12,Tyler Adams,25000000.0,12.0,Defensive Midfield,United States,https://tmssl.akamaized.net//images/flagge/verysmall/184.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/332705-1754244571.jpg?lm=1,1999-02-14,0,0
13,Alex Scott,40000000.0,8.0,Central Midfield,England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/855256-1656922605.jpg?lm=1,2003-08-21,0,0
14,Lewis Cook,13000000.0,4.0,Central Midfield,England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/249089-1700671190.jpg?lm=1,1997-02-03,0,0
15,Alex Tóth,12000000.0,27.0,Central Midfield,Hungary,https://tmssl.akamaized.net//images/flagge/verysmall/178.png?lm=1521635893,https://img.a.transfermarkt.technology/portrait/medium/998101-1763730106.jpg?lm=1,2005-10-23,0,0
16,Ryan Christie,9000000.0,10.0,Central Midfield,Scotland,https://tmssl.akamaized.net//images/flagge/verysmall/190.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/188077-1697450633.jpg?lm=1,1995-02-22,0,0
17,Justin Kluivert,30000000.0,19.0,Attacking Midfield,Netherlands,https://tmssl.akamaized.net//images/flagge/verysmall/122.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/330659-1746645394.jpg?lm=1,1999-05-05,0,0
18,Marcus Tavernier,23000000.0,16.0,Attacking Midfield,England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/399434-1700650360.jpg?lm=1,1999-03-22,0,0
19,Amine Adli,20000000.0,21.0,Left Winger,Morocco,https://tmssl.akamaized.net//images/flagge/verysmall/107.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/532776-1689710574.jpg?lm=1,2000-05-10,0,0
20,Rayan,40000000.0,37.0,Right Winger,Brazil,https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/1012564-1729116592.jpg?lm=1,2006-08-03,0,0
21,Ben Gannon-Doak,16000000.0,11.0,Right Winger,Scotland,https://tmssl.akamaized.net//images/flagge/verysmall/190.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/719673-1692090710.jpg?lm=1,2005-11-11,0,0
22,David Brooks,14000000.0,7.0,Right Winger,Wales,https://tmssl.akamaized.net//images/flagge/verysmall/191.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/277033-1700650102.jpg?lm=1,1997-07-08,0,0
23,Junior Kroupi,40000000.0,22.0,Centre-Forward,France,https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/955357-1727784350.jpg?lm=1,2006-06-23,0,0
24,Evanilson,35000000.0,9.0,Centre-Forward,Brazil,https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/711337-1737452098.jpg?lm=1,1999-10-06,0,0
25,Enes Ünal,8000000.0,26.0,Centre-Forward,Türkiye,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/251106-1669365680.jpg?lm=1,1997-05-10,0,0
26,David Raya,35000000.0,1.0,Goalkeeper,Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/262749-1668168018.jpg?lm=1,1995-09-15,1,0
27,Kepa Arrizabalaga,7000000.0,13.0,Goalkeeper,Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/192279-1661855851.jpg?lm=1,1994-10-03,1,0
28,Tommy Setford,50000.0,35.0,Goalkeeper,England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/848753-1743155873.jpg?lm=1,2006-03-13,1,0
29,William Saliba,90000000.0,2.0,Centre-Back,France,https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/495666-1718697201.jpg?lm=1,2001-03-24,1,0
30,Gabriel,75000000.0,6.0,Centre-Back,Brazil,https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/435338-1684162833.jpg?lm=1,1997-12-19,1,0
31,Piero Hincapié,50000000.0,5.0,Centre-Back,Ecuador,https://tmssl.akamaized.net//images/flagge/verysmall/44.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/659813-1727377918.jpg?lm=1,2002-01-09,1,0
32,Cristhian Mosquera,35000000.0,3.0,Centre-Back,Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/646750-1749739359.jpg?lm=1,2004-06-27,1,0
33,Riccardo Calafiori,50000000.0,33.0,Left-Back,Italy,https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/502821-1727382174.jpg?lm=1,2002-05-19,1,0
34,Myles Lewis-Skelly,35000000.0,49.0,Left-Back,England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/890721-1758053582.jpg?lm=1,2006-09-26,1,0
35,Jurriën Timber,70000000.0,12.0,Right-Back,Netherlands,https://tmssl.akamaized.net//images/flagge/verysmall/122.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/420243-1702413077.jpg?lm=1,2001-06-17,1,0
36,Ben White,30000000.0,4.0,Right-Back,England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/335721-1683275943.jpg?lm=1,1997-10-08,1,0
37,Martín Zubimendi,80000000.0,36.0,Defensive Midfield,Spain,https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/423440-1684149419.jpg?lm=1,1999-02-02,1,0
38,Christian Nørgaard,7000000.0,16.0,Defensive Midfield,Denmark,https://tmssl.akamaized.net//images/flagge/verysmall/39.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/148367-1699799827.jpg?lm=1,1994-03-10,1,0
39,Declan Rice,120000000.0,41.0,Central Midfield,England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/357662-1687962936.jpg?lm=1,1999-01-14,1,0
